"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @neiltyson: Sept 23: Happy Equinox to all Earthlings. One of only two annual days when the Sun everywhere rises due East &amp; sets due West.",FALSE,0,NA,2015-09-23 14:43:01,FALSE,NA,"646696272267636736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",5534,TRUE,FALSE,NA,NA
"Great to see. Congrats @BradStone @tsgiles  https://t.co/BeyFNVUTJz",FALSE,98,NA,2015-09-22 17:04:23,FALSE,NA,"646369462938046464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",31,FALSE,FALSE,NA,NA
"RT @google: Here's to curious young scientists around the world. Keep on inventing! #googlesciencefair http://t.co/t6w12nrzLh",FALSE,0,NA,2015-09-22 02:13:20,FALSE,NA,"646145220996759552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",716,TRUE,FALSE,NA,NA
"RT @POTUS: Cool clock, Ahmed. Want to bring it to the White House? We should inspire more kids like you to like science. It's what makes Am…",FALSE,0,NA,2015-09-16 17:19:21,FALSE,NA,"644198902535553024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",356935,TRUE,FALSE,NA,NA
"RT @techreview: Deep Learning Machine Teaches Itself Chess in 72 Hours, Plays at International Master Level http://t.co/VJbBCBBa1q",FALSE,0,NA,2015-09-16 06:21:36,FALSE,NA,"644033371912298496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",206,TRUE,FALSE,NA,NA
"RT @google: Help refugees and migrants in urgent need. Donate now and Google will match your donation. http://t.co/4yO5sRlkJT http://t.co/w…",FALSE,0,NA,2015-09-16 04:15:02,FALSE,NA,"644001522980814849",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sundarpichai",1451,TRUE,FALSE,NA,NA
"RT @narendramodi: My dear engineer friends, greetings to you on #EngineersDay I salute your hardwork &amp; innovation, which has benefitted Ind…",FALSE,0,NA,2015-09-16 04:14:18,FALSE,NA,"644001339584876546",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sundarpichai",3673,TRUE,FALSE,NA,NA
"RT @Recode: Google picks former Hyundai CEO to run self-driving car project http://t.co/Ha7CqMvPwh by @mhbergen http://t.co/k94hZAidnm",FALSE,0,NA,2015-09-14 06:05:02,FALSE,NA,"643304428104085504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",179,TRUE,FALSE,NA,NA
"RT @adamdangelo: I am really excited about deep learning applied to art. Tons of potential still to be explored in every direction.",FALSE,0,NA,2015-09-14 05:29:38,FALSE,NA,"643295519532433408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",32,TRUE,FALSE,NA,NA
"RT @chrisbentzel: What happens after showing Chrome's DevTools to my 5+7 year old daughters. http://t.co/p16XMW4jkI",FALSE,0,NA,2015-09-07 23:03:10,FALSE,NA,"641023937330057216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",1275,TRUE,FALSE,NA,NA
